Sl. No.,State/UT,Number of Challan Issued,Revenue Collection (in Rupees)
1,Tamil Nadu,55762916,7555816274
2,Uttar Pradesh,44003150,24951872926
3,Kerala,18835738,6909202912
4,Haryana,10390665,14651751846
5,Delhi,9022711,5714338802
6,Rajasthan,5855678,13934799915
7,Odisha,5411511,5000647690
8,Bihar,4341219,14038598368
9,Himachal Pradesh,3606736,3817453286
10,West Bengal,3344857,3184688520
11,Gujarat,3331209,6803193071
12,Maharashtra,3091878,9441127057
13,Goa,2586910,783056228
14,Chandigarh,2290051,1499955378
15,Madhya Pradesh,2019408,692138896
16,Assam,1808274,3511399862
17,Jammu and Kashmir,1762845,503834565
18,Uttarakhand,1430163,1653412974
19,Tripura,824362,268074243
20,Jharkhand,671941,500744416
21,Chhattisgarh,493068,337934672
22,Punjab,407691,315348085
23,Andhra Pradesh,387676,7749215
24,Puducherry,290868,62994200
25,Karnataka,279957,52861700
26,Meghalaya,70531,65882600
27,Dadra and Nagar Haveli and Daman and Diu,57985,35164187
28,Mizoram,15709,13812800
29,Manipur,7128,4259912
30,Sikkim,1564,7303090
31,Ladakh,651,296625
Total,Total,182405050,1.2632E+11
